cost,maintainence,doors,persons,trunk,safety,rating
vhigh,vhigh,2,2,small,low,poor
vhigh,vhigh,2,2,small,medium,poor
vhigh,vhigh,2,2,small,high,poor
vhigh,vhigh,2,2,medium,low,poor
vhigh,vhigh,2,2,medium,medium,poor
vhigh,vhigh,2,2,medium,high,poor
vhigh,vhigh,2,2,big,low,poor
vhigh,vhigh,2,2,big,medium,poor
vhigh,vhigh,2,2,big,high,poor
vhigh,vhigh,2,4,small,low,poor
vhigh,vhigh,2,4,small,medium,poor
vhigh,vhigh,2,4,small,high,poor
vhigh,vhigh,2,4,medium,low,poor
vhigh,vhigh,2,4,medium,medium,poor
vhigh,vhigh,2,4,medium,high,poor
vhigh,vhigh,2,4,big,low,poor
vhigh,vhigh,2,4,big,medium,poor
vhigh,vhigh,2,4,big,high,poor
vhigh,vhigh,2,6,small,low,poor
vhigh,vhigh,2,6,small,medium,poor
vhigh,vhigh,2,6,small,high,poor
vhigh,vhigh,2,6,medium,low,poor
vhigh,vhigh,2,6,medium,medium,poor
vhigh,vhigh,2,6,medium,high,poor
vhigh,vhigh,2,6,big,low,poor
vhigh,vhigh,2,6,big,medium,poor
vhigh,vhigh,2,6,big,high,poor
vhigh,vhigh,3,2,small,low,poor
vhigh,vhigh,3,2,small,medium,poor
vhigh,vhigh,3,2,small,high,poor
vhigh,vhigh,3,2,medium,low,poor
vhigh,vhigh,3,2,medium,medium,poor
vhigh,vhigh,3,2,medium,high,poor
vhigh,vhigh,3,2,big,low,poor
vhigh,vhigh,3,2,big,medium,poor
vhigh,vhigh,3,2,big,high,poor
vhigh,vhigh,3,4,small,low,poor
vhigh,vhigh,3,4,small,medium,poor
vhigh,vhigh,3,4,small,high,poor
vhigh,vhigh,3,4,medium,low,poor
vhigh,vhigh,3,4,medium,medium,poor
vhigh,vhigh,3,4,medium,high,poor
vhigh,vhigh,3,4,big,low,poor
vhigh,vhigh,3,4,big,medium,poor
vhigh,vhigh,3,4,big,high,poor
vhigh,vhigh,3,6,small,low,poor
vhigh,vhigh,3,6,small,medium,poor
vhigh,vhigh,3,6,small,high,poor
vhigh,vhigh,3,6,medium,low,poor
vhigh,vhigh,3,6,medium,medium,poor
vhigh,vhigh,3,6,medium,high,poor
vhigh,vhigh,3,6,big,low,poor
vhigh,vhigh,3,6,big,medium,poor
vhigh,vhigh,3,6,big,high,poor
vhigh,vhigh,4,2,small,low,poor
vhigh,vhigh,4,2,small,medium,poor
vhigh,vhigh,4,2,small,high,poor
vhigh,vhigh,4,2,medium,low,poor
vhigh,vhigh,4,2,medium,medium,poor
vhigh,vhigh,4,2,medium,high,poor
vhigh,vhigh,4,2,big,low,poor
vhigh,vhigh,4,2,big,medium,poor
vhigh,vhigh,4,2,big,high,poor
vhigh,vhigh,4,4,small,low,poor
vhigh,vhigh,4,4,small,medium,poor
vhigh,vhigh,4,4,small,high,poor
vhigh,vhigh,4,4,medium,low,poor
vhigh,vhigh,4,4,medium,medium,poor
vhigh,vhigh,4,4,medium,high,poor
vhigh,vhigh,4,4,big,low,poor
vhigh,vhigh,4,4,big,medium,poor
vhigh,vhigh,4,4,big,high,poor
vhigh,vhigh,4,6,small,low,poor
vhigh,vhigh,4,6,small,medium,poor
vhigh,vhigh,4,6,small,high,poor
vhigh,vhigh,4,6,medium,low,poor
vhigh,vhigh,4,6,medium,medium,poor
vhigh,vhigh,4,6,medium,high,poor
vhigh,vhigh,4,6,big,low,poor
vhigh,vhigh,4,6,big,medium,poor
vhigh,vhigh,4,6,big,high,poor
vhigh,vhigh,5,2,small,low,poor
vhigh,vhigh,5,2,small,medium,poor
vhigh,vhigh,5,2,small,high,poor
vhigh,vhigh,5,2,medium,low,poor
vhigh,vhigh,5,2,medium,medium,poor
vhigh,vhigh,5,2,medium,high,poor
vhigh,vhigh,5,2,big,low,poor
vhigh,vhigh,5,2,big,medium,poor
vhigh,vhigh,5,2,big,high,poor
vhigh,vhigh,5,4,small,low,poor
vhigh,vhigh,5,4,small,medium,poor
vhigh,vhigh,5,4,small,high,poor
vhigh,vhigh,5,4,medium,low,poor
vhigh,vhigh,5,4,medium,medium,poor
vhigh,vhigh,5,4,medium,high,poor
vhigh,vhigh,5,4,big,low,poor
vhigh,vhigh,5,4,big,medium,poor
vhigh,vhigh,5,4,big,high,poor
vhigh,vhigh,5,6,small,low,poor
vhigh,vhigh,5,6,small,medium,poor
vhigh,vhigh,5,6,small,high,poor
vhigh,vhigh,5,6,medium,low,poor
vhigh,vhigh,5,6,medium,medium,poor
vhigh,vhigh,5,6,medium,high,poor
vhigh,vhigh,5,6,big,low,poor
vhigh,vhigh,5,6,big,medium,poor
vhigh,vhigh,5,6,big,high,poor
vhigh,high,2,2,small,low,poor
vhigh,high,2,2,small,medium,poor
vhigh,high,2,2,small,high,poor
vhigh,high,2,2,medium,low,poor
vhigh,high,2,2,medium,medium,poor
vhigh,high,2,2,medium,high,poor
vhigh,high,2,2,big,low,poor
vhigh,high,2,2,big,medium,poor
vhigh,high,2,2,big,high,poor
vhigh,high,2,4,small,low,poor
vhigh,high,2,4,small,medium,poor
vhigh,high,2,4,small,high,poor
vhigh,high,2,4,medium,low,poor
vhigh,high,2,4,medium,medium,poor
vhigh,high,2,4,medium,high,poor
vhigh,high,2,4,big,low,poor
vhigh,high,2,4,big,medium,poor
vhigh,high,2,4,big,high,poor
vhigh,high,2,6,small,low,poor
vhigh,high,2,6,small,medium,poor
vhigh,high,2,6,small,high,poor
vhigh,high,2,6,medium,low,poor
vhigh,high,2,6,medium,medium,poor
vhigh,high,2,6,medium,high,poor
vhigh,high,2,6,big,low,poor
vhigh,high,2,6,big,medium,poor
vhigh,high,2,6,big,high,poor
vhigh,high,3,2,small,low,poor
vhigh,high,3,2,small,medium,poor
vhigh,high,3,2,small,high,poor
vhigh,high,3,2,medium,low,poor
vhigh,high,3,2,medium,medium,poor
vhigh,high,3,2,medium,high,poor
vhigh,high,3,2,big,low,poor
vhigh,high,3,2,big,medium,poor
vhigh,high,3,2,big,high,poor
vhigh,high,3,4,small,low,poor
vhigh,high,3,4,small,medium,poor
vhigh,high,3,4,small,high,poor
vhigh,high,3,4,medium,low,poor
vhigh,high,3,4,medium,medium,poor
vhigh,high,3,4,medium,high,poor
vhigh,high,3,4,big,low,poor
vhigh,high,3,4,big,medium,poor
vhigh,high,3,4,big,high,poor
vhigh,high,3,6,small,low,poor
vhigh,high,3,6,small,medium,poor
vhigh,high,3,6,small,high,poor
vhigh,high,3,6,medium,low,poor
vhigh,high,3,6,medium,medium,poor
vhigh,high,3,6,medium,high,poor
vhigh,high,3,6,big,low,poor
vhigh,high,3,6,big,medium,poor
vhigh,high,3,6,big,high,poor
vhigh,high,4,2,small,low,poor
vhigh,high,4,2,small,medium,poor
vhigh,high,4,2,small,high,poor
vhigh,high,4,2,medium,low,poor
vhigh,high,4,2,medium,medium,poor
vhigh,high,4,2,medium,high,poor
vhigh,high,4,2,big,low,poor
vhigh,high,4,2,big,medium,poor
vhigh,high,4,2,big,high,poor
vhigh,high,4,4,small,low,poor
vhigh,high,4,4,small,medium,poor
vhigh,high,4,4,small,high,poor
vhigh,high,4,4,medium,low,poor
vhigh,high,4,4,medium,medium,poor
vhigh,high,4,4,medium,high,poor
vhigh,high,4,4,big,low,poor
vhigh,high,4,4,big,medium,poor
vhigh,high,4,4,big,high,poor
vhigh,high,4,6,small,low,poor
vhigh,high,4,6,small,medium,poor
vhigh,high,4,6,small,high,poor
vhigh,high,4,6,medium,low,poor
vhigh,high,4,6,medium,medium,poor
vhigh,high,4,6,medium,high,poor
vhigh,high,4,6,big,low,poor
vhigh,high,4,6,big,medium,poor
vhigh,high,4,6,big,high,poor
vhigh,high,5,2,small,low,poor
vhigh,high,5,2,small,medium,poor
vhigh,high,5,2,small,high,poor
vhigh,high,5,2,medium,low,poor
vhigh,high,5,2,medium,medium,poor
vhigh,high,5,2,medium,high,poor
vhigh,high,5,2,big,low,poor
vhigh,high,5,2,big,medium,poor
vhigh,high,5,2,big,high,poor
vhigh,high,5,4,small,low,poor
vhigh,high,5,4,small,medium,poor
vhigh,high,5,4,small,high,poor
vhigh,high,5,4,medium,low,poor
vhigh,high,5,4,medium,medium,poor
vhigh,high,5,4,medium,high,poor
vhigh,high,5,4,big,low,poor
vhigh,high,5,4,big,medium,poor
vhigh,high,5,4,big,high,poor
vhigh,high,5,6,small,low,poor
vhigh,high,5,6,small,medium,poor
vhigh,high,5,6,small,high,poor
vhigh,high,5,6,medium,low,poor
vhigh,high,5,6,medium,medium,poor
vhigh,high,5,6,medium,high,poor
vhigh,high,5,6,big,low,poor
vhigh,high,5,6,big,medium,poor
vhigh,high,5,6,big,high,poor
vhigh,medium,2,2,small,low,poor
vhigh,medium,2,2,small,medium,poor
vhigh,medium,2,2,small,high,poor
vhigh,medium,2,2,medium,low,poor
vhigh,medium,2,2,medium,medium,poor
vhigh,medium,2,2,medium,high,poor
vhigh,medium,2,2,big,low,poor
vhigh,medium,2,2,big,medium,poor
vhigh,medium,2,2,big,high,poor
vhigh,medium,2,4,small,low,poor
vhigh,medium,2,4,small,medium,poor
vhigh,medium,2,4,small,high,acceptable
vhigh,medium,2,4,medium,low,poor
vhigh,medium,2,4,medium,medium,poor
vhigh,medium,2,4,medium,high,acceptable
vhigh,medium,2,4,big,low,poor
vhigh,medium,2,4,big,medium,acceptable
vhigh,medium,2,4,big,high,acceptable
vhigh,medium,2,6,small,low,poor
vhigh,medium,2,6,small,medium,poor
vhigh,medium,2,6,small,high,poor
vhigh,medium,2,6,medium,low,poor
vhigh,medium,2,6,medium,medium,poor
vhigh,medium,2,6,medium,high,acceptable
vhigh,medium,2,6,big,low,poor
vhigh,medium,2,6,big,medium,acceptable
vhigh,medium,2,6,big,high,acceptable
vhigh,medium,3,2,small,low,poor
vhigh,medium,3,2,small,medium,poor
vhigh,medium,3,2,small,high,poor
vhigh,medium,3,2,medium,low,poor
vhigh,medium,3,2,medium,medium,poor
vhigh,medium,3,2,medium,high,poor
vhigh,medium,3,2,big,low,poor
vhigh,medium,3,2,big,medium,poor
vhigh,medium,3,2,big,high,poor
vhigh,medium,3,4,small,low,poor
vhigh,medium,3,4,small,medium,poor
vhigh,medium,3,4,small,high,acceptable
vhigh,medium,3,4,medium,low,poor
vhigh,medium,3,4,medium,medium,poor
vhigh,medium,3,4,medium,high,acceptable
vhigh,medium,3,4,big,low,poor
vhigh,medium,3,4,big,medium,acceptable
vhigh,medium,3,4,big,high,acceptable
vhigh,medium,3,6,small,low,poor
vhigh,medium,3,6,small,medium,poor
vhigh,medium,3,6,small,high,acceptable
vhigh,medium,3,6,medium,low,poor
vhigh,medium,3,6,medium,medium,acceptable
vhigh,medium,3,6,medium,high,acceptable
vhigh,medium,3,6,big,low,poor
vhigh,medium,3,6,big,medium,acceptable
vhigh,medium,3,6,big,high,acceptable
vhigh,medium,4,2,small,low,poor
vhigh,medium,4,2,small,medium,poor
vhigh,medium,4,2,small,high,poor
vhigh,medium,4,2,medium,low,poor
vhigh,medium,4,2,medium,medium,poor
vhigh,medium,4,2,medium,high,poor
vhigh,medium,4,2,big,low,poor
vhigh,medium,4,2,big,medium,poor
vhigh,medium,4,2,big,high,poor
vhigh,medium,4,4,small,low,poor
vhigh,medium,4,4,small,medium,poor
vhigh,medium,4,4,small,high,acceptable
vhigh,medium,4,4,medium,low,poor
vhigh,medium,4,4,medium,medium,acceptable
vhigh,medium,4,4,medium,high,acceptable
vhigh,medium,4,4,big,low,poor
vhigh,medium,4,4,big,medium,acceptable
vhigh,medium,4,4,big,high,acceptable
vhigh,medium,4,6,small,low,poor
vhigh,medium,4,6,small,medium,poor
vhigh,medium,4,6,small,high,acceptable
vhigh,medium,4,6,medium,low,poor
vhigh,medium,4,6,medium,medium,acceptable
vhigh,medium,4,6,medium,high,acceptable
vhigh,medium,4,6,big,low,poor
vhigh,medium,4,6,big,medium,acceptable
vhigh,medium,4,6,big,high,acceptable
vhigh,medium,5,2,small,low,poor
vhigh,medium,5,2,small,medium,poor
vhigh,medium,5,2,small,high,poor
vhigh,medium,5,2,medium,low,poor
vhigh,medium,5,2,medium,medium,poor
vhigh,medium,5,2,medium,high,poor
vhigh,medium,5,2,big,low,poor
vhigh,medium,5,2,big,medium,poor
vhigh,medium,5,2,big,high,poor
vhigh,medium,5,4,small,low,poor
vhigh,medium,5,4,small,medium,poor
vhigh,medium,5,4,small,high,acceptable
vhigh,medium,5,4,medium,low,poor
vhigh,medium,5,4,medium,medium,acceptable
vhigh,medium,5,4,medium,high,acceptable
vhigh,medium,5,4,big,low,poor
vhigh,medium,5,4,big,medium,acceptable
vhigh,medium,5,4,big,high,acceptable
vhigh,medium,5,6,small,low,poor
vhigh,medium,5,6,small,medium,poor
vhigh,medium,5,6,small,high,acceptable
vhigh,medium,5,6,medium,low,poor
vhigh,medium,5,6,medium,medium,acceptable
vhigh,medium,5,6,medium,high,acceptable
vhigh,medium,5,6,big,low,poor
vhigh,medium,5,6,big,medium,acceptable
vhigh,medium,5,6,big,high,acceptable
vhigh,low,2,2,small,low,poor
vhigh,low,2,2,small,medium,poor
vhigh,low,2,2,small,high,poor
vhigh,low,2,2,medium,low,poor
vhigh,low,2,2,medium,medium,poor
vhigh,low,2,2,medium,high,poor
vhigh,low,2,2,big,low,poor
vhigh,low,2,2,big,medium,poor
vhigh,low,2,2,big,high,poor
vhigh,low,2,4,small,low,poor
vhigh,low,2,4,small,medium,poor
vhigh,low,2,4,small,high,acceptable
vhigh,low,2,4,medium,low,poor
vhigh,low,2,4,medium,medium,poor
vhigh,low,2,4,medium,high,acceptable
vhigh,low,2,4,big,low,poor
vhigh,low,2,4,big,medium,acceptable
vhigh,low,2,4,big,high,acceptable
vhigh,low,2,6,small,low,poor
vhigh,low,2,6,small,medium,poor
vhigh,low,2,6,small,high,poor
vhigh,low,2,6,medium,low,poor
vhigh,low,2,6,medium,medium,poor
vhigh,low,2,6,medium,high,acceptable
vhigh,low,2,6,big,low,poor
vhigh,low,2,6,big,medium,acceptable
vhigh,low,2,6,big,high,acceptable
vhigh,low,3,2,small,low,poor
vhigh,low,3,2,small,medium,poor
vhigh,low,3,2,small,high,poor
vhigh,low,3,2,medium,low,poor
vhigh,low,3,2,medium,medium,poor
vhigh,low,3,2,medium,high,poor
vhigh,low,3,2,big,low,poor
vhigh,low,3,2,big,medium,poor
vhigh,low,3,2,big,high,poor
vhigh,low,3,4,small,low,poor
vhigh,low,3,4,small,medium,poor
vhigh,low,3,4,small,high,acceptable
vhigh,low,3,4,medium,low,poor
vhigh,low,3,4,medium,medium,poor
vhigh,low,3,4,medium,high,acceptable
vhigh,low,3,4,big,low,poor
vhigh,low,3,4,big,medium,acceptable
vhigh,low,3,4,big,high,acceptable
vhigh,low,3,6,small,low,poor
vhigh,low,3,6,small,medium,poor
vhigh,low,3,6,small,high,acceptable
vhigh,low,3,6,medium,low,poor
vhigh,low,3,6,medium,medium,acceptable
vhigh,low,3,6,medium,high,acceptable
vhigh,low,3,6,big,low,poor
vhigh,low,3,6,big,medium,acceptable
vhigh,low,3,6,big,high,acceptable
vhigh,low,4,2,small,low,poor
vhigh,low,4,2,small,medium,poor
vhigh,low,4,2,small,high,poor
vhigh,low,4,2,medium,low,poor
vhigh,low,4,2,medium,medium,poor
vhigh,low,4,2,medium,high,poor
vhigh,low,4,2,big,low,poor
vhigh,low,4,2,big,medium,poor
vhigh,low,4,2,big,high,poor
vhigh,low,4,4,small,low,poor
vhigh,low,4,4,small,medium,poor
vhigh,low,4,4,small,high,acceptable
vhigh,low,4,4,medium,low,poor
vhigh,low,4,4,medium,medium,acceptable
vhigh,low,4,4,medium,high,acceptable
vhigh,low,4,4,big,low,poor
vhigh,low,4,4,big,medium,acceptable
vhigh,low,4,4,big,high,acceptable
vhigh,low,4,6,small,low,poor
vhigh,low,4,6,small,medium,poor
vhigh,low,4,6,small,high,acceptable
vhigh,low,4,6,medium,low,poor
vhigh,low,4,6,medium,medium,acceptable
vhigh,low,4,6,medium,high,acceptable
vhigh,low,4,6,big,low,poor
vhigh,low,4,6,big,medium,acceptable
vhigh,low,4,6,big,high,acceptable
vhigh,low,5,2,small,low,poor
vhigh,low,5,2,small,medium,poor
vhigh,low,5,2,small,high,poor
vhigh,low,5,2,medium,low,poor
vhigh,low,5,2,medium,medium,poor
vhigh,low,5,2,medium,high,poor
vhigh,low,5,2,big,low,poor
vhigh,low,5,2,big,medium,poor
vhigh,low,5,2,big,high,poor
vhigh,low,5,4,small,low,poor
vhigh,low,5,4,small,medium,poor
vhigh,low,5,4,small,high,acceptable
vhigh,low,5,4,medium,low,poor
vhigh,low,5,4,medium,medium,acceptable
vhigh,low,5,4,medium,high,acceptable
vhigh,low,5,4,big,low,poor
vhigh,low,5,4,big,medium,acceptable
vhigh,low,5,4,big,high,acceptable
vhigh,low,5,6,small,low,poor
vhigh,low,5,6,small,medium,poor
vhigh,low,5,6,small,high,acceptable
vhigh,low,5,6,medium,low,poor
vhigh,low,5,6,medium,medium,acceptable
vhigh,low,5,6,medium,high,acceptable
vhigh,low,5,6,big,low,poor
vhigh,low,5,6,big,medium,acceptable
vhigh,low,5,6,big,high,acceptable
high,vhigh,2,2,small,low,poor
high,vhigh,2,2,small,medium,poor
high,vhigh,2,2,small,high,poor
high,vhigh,2,2,medium,low,poor
high,vhigh,2,2,medium,medium,poor
high,vhigh,2,2,medium,high,poor
high,vhigh,2,2,big,low,poor
high,vhigh,2,2,big,medium,poor
high,vhigh,2,2,big,high,poor
high,vhigh,2,4,small,low,poor
high,vhigh,2,4,small,medium,poor
high,vhigh,2,4,small,high,poor
high,vhigh,2,4,medium,low,poor
high,vhigh,2,4,medium,medium,poor
high,vhigh,2,4,medium,high,poor
high,vhigh,2,4,big,low,poor
high,vhigh,2,4,big,medium,poor
high,vhigh,2,4,big,high,poor
high,vhigh,2,6,small,low,poor
high,vhigh,2,6,small,medium,poor
high,vhigh,2,6,small,high,poor
high,vhigh,2,6,medium,low,poor
high,vhigh,2,6,medium,medium,poor
high,vhigh,2,6,medium,high,poor
high,vhigh,2,6,big,low,poor
high,vhigh,2,6,big,medium,poor
high,vhigh,2,6,big,high,poor
high,vhigh,3,2,small,low,poor
high,vhigh,3,2,small,medium,poor
high,vhigh,3,2,small,high,poor
high,vhigh,3,2,medium,low,poor
high,vhigh,3,2,medium,medium,poor
high,vhigh,3,2,medium,high,poor
high,vhigh,3,2,big,low,poor
high,vhigh,3,2,big,medium,poor
high,vhigh,3,2,big,high,poor
high,vhigh,3,4,small,low,poor
high,vhigh,3,4,small,medium,poor
high,vhigh,3,4,small,high,poor
high,vhigh,3,4,medium,low,poor
high,vhigh,3,4,medium,medium,poor
high,vhigh,3,4,medium,high,poor
high,vhigh,3,4,big,low,poor
high,vhigh,3,4,big,medium,poor
high,vhigh,3,4,big,high,poor
high,vhigh,3,6,small,low,poor
high,vhigh,3,6,small,medium,poor
high,vhigh,3,6,small,high,poor
high,vhigh,3,6,medium,low,poor
high,vhigh,3,6,medium,medium,poor
high,vhigh,3,6,medium,high,poor
high,vhigh,3,6,big,low,poor
high,vhigh,3,6,big,medium,poor
high,vhigh,3,6,big,high,poor
high,vhigh,4,2,small,low,poor
high,vhigh,4,2,small,medium,poor
high,vhigh,4,2,small,high,poor
high,vhigh,4,2,medium,low,poor
high,vhigh,4,2,medium,medium,poor
high,vhigh,4,2,medium,high,poor
high,vhigh,4,2,big,low,poor
high,vhigh,4,2,big,medium,poor
high,vhigh,4,2,big,high,poor
high,vhigh,4,4,small,low,poor
high,vhigh,4,4,small,medium,poor
high,vhigh,4,4,small,high,poor
high,vhigh,4,4,medium,low,poor
high,vhigh,4,4,medium,medium,poor
high,vhigh,4,4,medium,high,poor
high,vhigh,4,4,big,low,poor
high,vhigh,4,4,big,medium,poor
high,vhigh,4,4,big,high,poor
high,vhigh,4,6,small,low,poor
high,vhigh,4,6,small,medium,poor
high,vhigh,4,6,small,high,poor
high,vhigh,4,6,medium,low,poor
high,vhigh,4,6,medium,medium,poor
high,vhigh,4,6,medium,high,poor
high,vhigh,4,6,big,low,poor
high,vhigh,4,6,big,medium,poor
high,vhigh,4,6,big,high,poor
high,vhigh,5,2,small,low,poor
high,vhigh,5,2,small,medium,poor
high,vhigh,5,2,small,high,poor
high,vhigh,5,2,medium,low,poor
high,vhigh,5,2,medium,medium,poor
high,vhigh,5,2,medium,high,poor
high,vhigh,5,2,big,low,poor
high,vhigh,5,2,big,medium,poor
high,vhigh,5,2,big,high,poor
high,vhigh,5,4,small,low,poor
high,vhigh,5,4,small,medium,poor
high,vhigh,5,4,small,high,poor
high,vhigh,5,4,medium,low,poor
high,vhigh,5,4,medium,medium,poor
high,vhigh,5,4,medium,high,poor
high,vhigh,5,4,big,low,poor
high,vhigh,5,4,big,medium,poor
high,vhigh,5,4,big,high,poor
high,vhigh,5,6,small,low,poor
high,vhigh,5,6,small,medium,poor
high,vhigh,5,6,small,high,poor
high,vhigh,5,6,medium,low,poor
high,vhigh,5,6,medium,medium,poor
high,vhigh,5,6,medium,high,poor
high,vhigh,5,6,big,low,poor
high,vhigh,5,6,big,medium,poor
high,vhigh,5,6,big,high,poor
high,high,2,2,small,low,poor
high,high,2,2,small,medium,poor
high,high,2,2,small,high,poor
high,high,2,2,medium,low,poor
high,high,2,2,medium,medium,poor
high,high,2,2,medium,high,poor
high,high,2,2,big,low,poor
high,high,2,2,big,medium,poor
high,high,2,2,big,high,poor
high,high,2,4,small,low,poor
high,high,2,4,small,medium,poor
high,high,2,4,small,high,acceptable
high,high,2,4,medium,low,poor
high,high,2,4,medium,medium,poor
high,high,2,4,medium,high,acceptable
high,high,2,4,big,low,poor
high,high,2,4,big,medium,acceptable
high,high,2,4,big,high,acceptable
high,high,2,6,small,low,poor
high,high,2,6,small,medium,poor
high,high,2,6,small,high,poor
high,high,2,6,medium,low,poor
high,high,2,6,medium,medium,poor
high,high,2,6,medium,high,acceptable
high,high,2,6,big,low,poor
high,high,2,6,big,medium,acceptable
high,high,2,6,big,high,acceptable
high,high,3,2,small,low,poor
high,high,3,2,small,medium,poor
high,high,3,2,small,high,poor
high,high,3,2,medium,low,poor
high,high,3,2,medium,medium,poor
high,high,3,2,medium,high,poor
high,high,3,2,big,low,poor
high,high,3,2,big,medium,poor
high,high,3,2,big,high,poor
high,high,3,4,small,low,poor
high,high,3,4,small,medium,poor
high,high,3,4,small,high,acceptable
